securityname,first_in_portfolio,issuer_type,weight,price: 20221231,price: 20220930,price: 20220630,price: 20220331,price: 20211231,held_directly_or_through,held_by_that_many_active_funds,held_by_that_many_passive_funds,held_by_that_many_brands,issuer,issueAmount,total_usd_issuer_debt_amount,mean_issuer_issue_size,issuer_issue_count,marketvalue,holdingpercOfDeal,issue_date,RegistrationType,holdingType,debtType,debtRankType,primarySector,mortgageType,cmoClassType,cmoType,collateralType,crt,original_coupon_rate,effectiveduration,effectivematurity,maturitydate,modifiedduration,numberofshares,ratinganalytics_ratinglevel,yieldtomaturity,last_reported_factor,last_reported_factor_as_of_date,cmooriginaldealamount,state,country_of_risk,currency,em_dev,NAICSClassification,industry,muniSecurityType,muniUseOfProceeds,GreenBondIndicator,green_bond_third_party,convertible_indicator,conditional_conversion_indicator,conversion_feature_type,convertible_initiator,conversion_option_type,conversion_timing_type,convert_frequency_type,cusip,isin,apexid,bucket
Polar Us Borrower LLC / Schenectady International Group Inc. 6.75%,20210630,Corporation,0.02,37.23,55.19,69.98,85.37,98.35,High Yield Bond Portfolio,109,8,48,Polar Us Borrower LLC / Schenectady International Group Inc.,,,,," $142,958.05 ",,2021-05-18,Exempt Issue,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,2.28,3.37,2026-05-15,2.32," 384,012 ",Below B,44.4591,,,,DE,US,USD,DEV,Other Chemical and Allied Products Merchant Wholesalers,"Merchant Wholesalers, Nondurable Good",,,,,NA,NA,,,,,,73103PAA5,US73103PAA57,379387505,bucket_21_50
NiSource Inc. 4.375%,20180630,Corporation,0.06,84.1,79.61,88.22,102.18,118.77,held_directly,223,93,49,NiSource Inc.,," $1,650,000,000 "," $330,000,000 ", $5 ," $601,284.76 ",,2017-05-22,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,13.95,24.37,2047-05-15,13.91," 714,958 ",BBB,5.617,,,,IN,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,NA,NA,,,,,,65473QBF9,US65473QBF90,130111162,bucket_21_50
Kansas City Southern 4.7%,20180630,Corporation,0.19,86.64,86.1,94.71,110.71,124.94,held_directly,249,79,49,Kansas City Southern," $500,000,000 "," $3,297,040,000 "," $412,130,000 ", $8 ," $1,784,839.46 ",0.41,2018-05-03,SEC Registered,Bond - Corporate Bond,Note,Senior,Industrials,,,,,NA,4.7,13.83,25.34,2048-05-01,13.83," 2,059,959 ",BBB,5.7504,,,,DE,US,USD,DEV,Line-Haul Railroads,Rail Transportation,,,,,No,NA,,,,,,485170BB9,US485170BB94,174593259,bucket_21_50
Morgan Stanley 4.457%,20180630,Corporation,0.22,88.18,84.85,93.31,108.18,119.54,held_directly,186,92,49,Morgan Stanley,," $22,253,336,428 "," $117,122,823 ", $190 ," $2,094,279.74 ",,2018-04-24,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,10.56,15.31,2039-04-22,11.17," 2,375,030 ",A,5.6087,,,,DE,US,USD,DEV,Investment Advice,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,61744YAR9,US61744YAR99,173022909,bucket_21_50
Ashtead Capital Inc. 2.45%,20210930,Corporation,0.23,77.43,73.65,77.83,88.16,97.52,held_directly,228,18,49,Ashtead Capital Inc.,," $4,000,000,000 "," $571,428,571 ", $7 ," $2,183,677.81 ",,2021-08-12,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,7.31,8.62,2031-08-12,7.46," 2,820,017 ",BBB,5.8579,,,,DE,US,USD,DEV,Miscellaneous Intermediation,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,045054AP8,US045054AP84,398303449,bucket_21_50
Cboe Global Markets Inc 3.65%,20180630,Corporation,0.22,95.6,94.57,97.72,101.86,108.85,held_directly,179,86,49,Cboe Global Markets Inc," $650,000,000 "," $1,450,000,000 "," $483,333,333 ", $3 ," $2,055,493.28 ",0.33,2017-01-12,SEC Registered,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,3.65,3.55,4.04,2027-01-12,3.69," 2,149,986 ",A,4.9045,,,,DE,US,USD,DEV,Securities Brokerage,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,No,NA,,,,,,12503MAA6,US12503MAA62,117318615,bucket_21_50
"Centennial Resource Production, LLC 6.875%",20190331,Corporation,0.03,94.49,96.97,95.14,100.7,102.1,High Yield Bond Portfolio,178,16,49,"Centennial Resource Production, LLC",," $254,146,000 "," $127,073,000 ", $2 ," $296,252.70 ",,2019-03-15,Exempt Issue,Bond - Corporate Bond,,,Energy,,,,,NA,,3.18,4.25,2027-04-01,3.59," 313,529 ",B,8.5173,,,,CO,US,USD,DEV,Drilling Oil and Gas Wells,Support Activities for Mining,,,,,NA,NA,,,,,,15138AAC4,US15138AAC45,230517775,bucket_21_50
PNC Bank National Association (Delaware) 3.875%,20180630,Corporation,0.27,97.34,96.94,99.25,102.01,107.16,held_directly,179,81,49,PNC Bank National Association (Delaware)," $700,000,000 "," $1,575,000,000 "," $525,000,000 ", $3 ," $2,555,271.03 ",0.38,2015-04-10,Exempt Issue,Bond - Corporate Bond,Note,Subordinated,Financial Services,,,,,NA,3.875,2.10,2.28,2025-04-10,2.13," 2,625,038 ",A,5.0579,,,,DE,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,No,NA,,,,,,20453KAA3,US20453KAA34,53151754,bucket_21_50
Owens Brockway Glass Container Inc. 5.375%,20180630,Corporation,0.02,96.1,92.36,94.14,99.82,103.35,High Yield Bond Portfolio,83,12,49,Owens Brockway Glass Container Inc.,,,,," $186,843.74 ",,2014-12-03,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,1.87,2.04,2025-01-15,1.89," 194,436 ",B,7.5574,,,,OH,US,USD,DEV,Glass Container Manufacturing,Nonmetallic Mineral Product Manufacturing,,,,,NA,NA,,,,,,690872AB2,US690872AB26,56638671,bucket_21_50
"Keysight Technologies, Inc. 4.55%",20180630,Corporation,0.35,98.54,98.71,101.35,102.85,108.31,held_directly,212,95,49,"Keysight Technologies, Inc.",," $700,000,000 "," $700,000,000 ", $1 ," $3,276,415.42 ",,2015-11-20,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,1.63,1.83,2024-10-30,1.73," 3,324,979 ",BBB,5.4367,,,,DE,US,USD,DEV,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial",Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,49338LAB9,US49338LAB99,54056656,bucket_21_50
Marathon Petroleum Company 3.625%,20180630,Corporation,0.09,97.38,96.95,99.02,100.81,105.32,held_directly,210,99,49,Marathon Petroleum Company,," $3,600,345,000 "," $450,043,125 ", $8 ," $852,072.35 ",,2014-09-05,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,1.57,1.71,2024-09-15,1.63," 875,017 ",BBB,5.2877,,,,OH,US,USD,DEV,Petroleum Refineries,Petroleum and Coal Products Manufacturing,,,,,NA,NA,,,,,,56585AAG7,US56585AAG76,52361192,bucket_21_50
Verizon Communications Inc. 4.125%,20180630,Corporation,0.54,79.91,79.46,88.87,103.12,115.95,held_directly,227,84,50,Verizon Communications Inc.," $1,500,000,000 "," $253,353,115,178 "," $931,445,276 ", $272 ," $5,066,174.14 ",0.42,2016-08-01,SEC Registered,Bond - Corporate Bond,Note,Senior,Communication Services,,,,,NA,4.125,13.75,23.62,2046-08-15,13.81," 6,340,043 ",BBB,5.7218,,,,NY,US,USD,DEV,Telecommunications Resellers,Telecommunications,,,,,No,NA,,,,,,92343VDC5,US92343VDC54,101833083,bucket_21_50
Cintas Corporation No. 2 4%,20220630,Corporation,0.36,94.18,91.96,98.32,,,held_directly,168,61,50,Cintas Corporation No. 2,,,,," $3,390,598.98 ",,2022-05-03,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,7.52,9.34,2032-05-01,7.64," 3,599,954 ",A,4.8205,,,,NV,US,USD,DEV,Industrial Machinery and Equipment Merchant Wholesalers,"Merchant Wholesalers, Durable Good",,,,,NA,NA,,,,,,17252MAQ3,US17252MAQ33,451413118,bucket_21_50
Comcast Corporation 7.05%,20180630,Corporation,0.11,115.53,109.86,120.09,130.78,144.15,held_directly,190,75,50,Comcast Corporation,," $9,674,934,000 "," $1,209,366,750 ", $8 ," $1,039,760.98 ",,2003-03-14,Not Applicable,Bond - Corporate Bond,,,Communication Services,,,,,NA,,7.31,10.21,2033-03-15,7.47," 899,997 ",A,5.1219,,,,PA,US,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,NA,NA,,,,,,20030NAC5,US20030NAC56,8451496,bucket_21_50
FedEx Corporation 3.1%,20190930,Corporation,0.11,88.46,86.11,91.24,98.66,106.11,held_directly,197,97,50,FedEx Corporation," $1,000,000,000 "," $8,512,216,374 "," $709,351,365 ", $12 ," $1,079,209.65 ",0.12,2019-07-24,SEC Registered,Bond - Corporate Bond,Note,Senior,Industrials,,,,,NA,3.1,5.70,6.60,2029-08-05,5.82," 1,219,991 ",BBB,5.229,,,,DE,US,USD,DEV,Couriers and Express Delivery Services,Couriers and Messengers,,,,,No,NA,,,,,,31428XBV7,US31428XBV73,252305917,bucket_21_50
"Interface, Inc. 5.5%",20201231,Corporation,0.03,82.7,85.63,84.85,97.3,104.9,High Yield Bond Portfolio,155,14,50,"Interface, Inc."," $300,000,000 "," $600,000,000 "," $300,000,000 ", $2 ," $237,188.87 ",0.1,2020-11-17,Exempt Issue,Bond - Corporate Bond,Note,Unsubordinated,Consumer Cyclical,,,,,NA,5.5,4.78,5.92,2028-12-01,4.81," 286,794 ",B,9.4051,,,,GA,US,USD,DEV,Carpet and Rug Mills,Textile Product Mills,,,,,No,NA,,,,,,458665AS5,US458665AS53,348886512,bucket_21_50
Suburban Propane Partners LP / Suburban Energy Finance Corporation 5.875%,20180630,Limited Partnership,0.01,95.67,94.88,94.45,101.51,103.59,High Yield Bond Portfolio,139,18,50,Suburban Propane Partners LP / Suburban Energy Finance Corporation,," $775,000,000 "," $387,500,000 ", $2 ," $123,237.24 ",,2017-02-14,SEC Registered,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,3.17,4.17,2027-03-01,3.62," 128,814 ",B,7.2779,,,,DE,US,USD,DEV,Fuel Dealers,Nonstore Retailer,,,,,NA,NA,,,,,,864486AK1,US864486AK16,120255203,bucket_21_50
National Fuel Gas Company 5.5%,20200630,Corporation,0.22,99.6,98.32,100.49,106.01,112.05,held_directly,224,80,50,National Fuel Gas Company,,,,," $2,121,430.27 ",,2020-06-03,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,2.67,3.04,2026-01-15,2.76," 2,129,958 ",BBB,5.6856,,,,NJ,US,USD,DEV,Natural Gas Distribution,Utilities,,,,,NA,NA,,,,,,636180BQ3,US636180BQ36,314326645,bucket_21_50
Valero Energy Corporation 3.65%,20211231,Corporation,0.20,71.06,68.36,74.93,88.51,99.5,held_directly,207,79,51,Valero Energy Corporation,," $5,300,000,000 "," $662,500,000 ", $8 ," $1,918,510.85 ",,2021-11-29,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,15.51,28.92,2051-12-01,15.44," 2,699,942 ",BBB,5.7466,,,,DE,US,USD,DEV,Petroleum Refineries,Petroleum and Coal Products Manufacturing,,,,,NA,NA,,,,,,91913YBD1,US91913YBD13,419917321,bucket_51_max
"Constellation Brands, Inc. 3.75%",20200630,Corporation,0.03,75.31,72.91,80.1,92.94,109.32,held_directly,203,72,51,"Constellation Brands, Inc.",," $500,000,000 "," $500,000,000 ", $1 ," $304,994.03 ",,2020-04-27,SEC Registered,Bond - Corporate Bond,,,Consumer Defensive,,,,,NA,,15.25,27.33,2050-05-01,15.21," 404,966 ",BBB,5.5489,,,,DE,US,USD,DEV,Wineries,Beverage and Tobacco Product Manufacturing,,,,,NA,NA,,,,,,21036PBG2,US21036PBG28,309925729,bucket_51_max
"Perkinelmer, Inc. 3.3%",20190930,Corporation,0.21,87.25,84.28,88.74,97.65,105.99,held_directly,206,99,51,"Perkinelmer, Inc."," $850,000,000 "," $3,200,575,902 "," $533,429,317 ", $6 ," $1,984,920.84 ",0.27,2019-09-12,SEC Registered,Bond - Corporate Bond,Note,Senior,Healthcare,,,,,NA,3.3,5.76,6.71,2029-09-15,5.85," 2,274,954 ",BBB,5.6498,,,,MA,US,USD,DEV,Electromedical and Electrotherapeutic Apparatus Manufacturing,Computer and Electronic Product Manufacturing,,,,,No,NA,,,,,,714046AG4,US714046AG46,261602399,bucket_51_max
Lam Research Corporation 4%,20190331,Corporation,0.17,95.44,93.71,98.31,104.93,112.11,held_directly,204,93,51,Lam Research Corporation,,,,," $1,651,073.46 ",,2019-03-04,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,5.28,6.21,2029-03-15,5.41," 1,730,022 ",A,4.9009,,,,DE,US,USD,DEV,Semiconductor and Related Device Manufacturing,Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,512807AU2,US512807AU29,228066836,bucket_51_max
Fiserv Inc. 4.2%,20180930,Corporation,0.22,94.79,92.62,96.45,103.3,112.24,held_directly,203,86,51,Fiserv Inc.," $1,000,000,000 "," $17,591,288,820 "," $1,172,752,588 ", $15 ," $2,094,941.95 ",0.22,2018-09-25,SEC Registered,Bond - Corporate Bond,Note,Senior,Technology,,,,,NA,4.2,4.90,5.75,2028-10-01,5.02," 2,210,015 ",BBB,5.301,,,,WI,US,USD,DEV,"Data Processing, Hosting, and Related Services","Data Processing, Hosting, and Related Services",,,,,No,NA,,,,,,337738AR9,US337738AR95,199720920,bucket_51_max
W. P. Carey Inc 4.6%,20180630,REIT,0.20,99.1,99.14,100.56,102.63,106.24,held_directly,234,82,51,W. P. Carey Inc," $500,000,000 "," $2,179,327,285 "," $435,865,457 ", $5 ," $1,872,913.11 ",0.38,2014-03-14,SEC Registered,Bond - Corporate Bond,Note,Senior,Real Estate,,,,,NA,4.6,1.10,1.25,2024-04-01,1.20," 1,889,957 ",BBB,5.3889,,,,DE,US,USD,DEV,Lessors of Residential Buildings and Dwellings,Real Estate,,,,,No,NA,,,,,,92936UAA7,US92936UAA79,38532362,bucket_51_max
CNH Industrial Capital LLC 4.2%,20180930,Corporation,0.17,98.61,98.57,100.13,102.05,105.62,held_directly,220,76,51,CNH Industrial Capital LLC," $500,000,000 "," $1,500,000,000 "," $500,000,000 ", $3 ," $1,646,721.81 ",0.33,2018-08-14,SEC Registered,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,4.2,0.98,1.04,2024-01-15,1.00," 1,670,017 ",BBB,5.6363,,,,DE,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,No,NA,,,,,,12592BAJ3,US12592BAJ35,191722517,bucket_51_max
"CCO Holdings, LLC/ CCO Holdings Capital Corp. 4%",20200630,Corporation,0.01,99.63,99.55,99.42,100.06,100.12,High Yield Bond Portfolio,130,7,51,"CCO Holdings, LLC/ CCO Holdings Capital Corp.",," $24,947,514,000 "," $1,187,976,857 ", $21 ," $125,911.97 ",,2017-10-17,Exempt Issue,Bond - Corporate Bond,,,Communication Services,,,,,NA,,0.16,0.17,2023-03-01,0.17," 126,384 ",BB,7.1236,,,,DE,US,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,NA,NA,,,,,,1248EPBZ5,US1248EPBZ52,143678284,bucket_51_max
PNC Financial Services Group Inc 4.626%,20220630,Corporation,0.36,92.67,89.34,96.71,,,held_directly,220,82,52,PNC Financial Services Group Inc," $850,000,000 "," $13,450,000,000 "," $1,034,615,385 ", $13 ," $3,405,640.56 ",0.43,2022-06-06,SEC Registered,Bond - Corporate Bond,Note,Lower Tier II,Financial Services,,,,,NA,4.626,7.44,9.43,2033-06-06,8.09," 3,675,031 ",BBB,5.5995,,,,PA,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,No,NA,,,,,,693475BE4,US693475BE43,457492718,bucket_51_max
Thermo Fisher Scientific Inc 2.6%,20200630,Corporation,0.26,88.32,86.27,90.7,95.45,104.4,held_directly,150,93,52,Thermo Fisher Scientific Inc,," $3,750,000,000 "," $750,000,000 ", $5 ," $2,428,789.33 ",,2019-10-08,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,5.98,6.75,2029-10-01,6.05," 2,749,949 ",BBB,4.6749,,,,DE,US,USD,DEV,Other Measuring and Controlling Device Manufacturing,Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,883556BZ4,US883556BZ47,264341945,bucket_51_max
"Keysight Technologies, Inc. 3%",20191231,Corporation,0.36,86.88,84.73,88.97,95.45,104.02,held_directly,236,88,52,"Keysight Technologies, Inc.",," $700,000,000 "," $700,000,000 ", $1 ," $3,449,251.68 ",,2019-10-22,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,5.95,6.83,2029-10-30,6.01," 3,970,034 ",BBB,5.3553,,,,DE,US,USD,DEV,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial",Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,49338LAF0,US49338LAF04,267419060,bucket_51_max
General Motors Financial Company Inc 5.65%,20191231,Corporation,0.12,98.43,94.68,99.87,108.29,118.83,held_directly,236,88,52,General Motors Financial Company  Inc,," $2,457,890,461 "," $66,429,472 ", $37 ," $1,092,643.01 ",,2019-01-17,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,4.86,6.05,2029-01-17,5.05," 1,110,048 ",BBB,6.0036,,,,TX,US,USD,DEV,Consumer Lending,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,37045XCS3,US37045XCS36,220882022,bucket_51_max
CNH Industrial N.V. 3.85%,20180630,Corporation,0.31,93.84,91.4,94.25,100.55,108.97,held_directly,204,84,52,CNH Industrial N.V.,,,,," $2,908,890.04 ",,2017-11-14,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,4.27,4.88,2027-11-15,4.36," 3,100,002 ",BBB,5.3422,,,,,NL,USD,DEV,Offices of Other Holding Companies,Management of Companies and Enterprises,,,,,NA,NA,,,,,,12594KAB8,US12594KAB89,146533577,bucket_51_max
Truist Financial Corporation 4.123%,20220630,Corporation,0.37,95.87,94.05,98.58,,,held_directly,212,78,52,Truist Financial Corporation,," $1,517,200,000 "," $505,733,333 ", $3 ," $3,523,135.16 ",,2022-06-06,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.97,4.43,2028-06-06,3.97," 3,675,045 ",A,5.2508,,,,NC,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,89788MAG7,US89788MAG78,295236833,bucket_51_max
Stellantis Finance Us Inc 1.711%,20210930,Corporation,0.13,85.94,83.36,87.04,91.31,98.36,held_directly,188,22,52,Stellantis Finance Us Inc,,,,," $1,207,488.78 ",,2021-09-15,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,3.79,4.08,2027-01-29,3.84," 1,404,978 ",BBB,5.6544,,,,DE,US,USD,DEV,Automobile Manufacturing,Transportation Equipment Manufacturing,,,,,NA,NA,,,,,,85855CAA8,US85855CAA80,404151256,bucket_51_max
Elevance Health Inc. 1.5%,20220630,Corporation,0.24,89.99,88.84,91.44,94.34,99.99,held_directly,197,102,52,Elevance Health Inc.,," $500,000,000 "," $500,000,000 ", $1 ," $2,249,804.00 ",,2021-03-17,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.04,3.21,2026-03-15,3.06," 2,499,979 ",BBB,4.95,,,,IN,US,USD,DEV,Direct Health and Medical Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,036752AR4,US036752AR45,369583368,bucket_51_max
Flex Ltd. 4.75%,20180630,Corporation,0.16,98.31,97.8,100.85,103.28,108.95,held_directly,189,87,52,Flex Ltd.,,,,," $1,538,498.12 ",,2016-01-11,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,2.21,2.46,2025-06-15,2.29," 1,564,971 ",BBB,5.5385,,,,,SG,USD,EM,Other Electronic Parts and Equipment Merchant Wholesalers,"Merchant Wholesalers, Durable Good",,,,,NA,NA,,,,,,33938EAU1,US33938EAU10,69249495,bucket_51_max
DH Europe Finance II SARL 3.4%,20191231,Corporation,0.35,76.02,72.02,80.57,95.42,107.33,held_directly,312,100,53,DH Europe Finance II SARL,," $4,147,312,541 "," $1,382,437,514 ", $3 ," $3,318,229.12 ",,2019-11-07,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,15.95,26.88,2049-11-15,15.90," 4,365,057 ",BBB,5.0799,,,,,US,USD,DEV,Offices of Other Holding Companies,Management of Companies and Enterprises,,,,,NA,NA,,,,,,23291KAK1,US23291KAK16,271574446,bucket_51_max
Southern Copper Corporation 6.75%,20180630,Corporation,0.13,111.86,103.51,113.17,127.86,140.28,held_directly,211,95,53,Southern Copper Corporation,," $400,000,000 "," $400,000,000 ", $1 ," $1,208,150.99 ",,2010-04-16,SEC Registered,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,10.46,17.30,2040-04-16,10.55," 1,080,019 ",BBB,5.6832,,,,DE,US,USD,DEV,"Copper, Nickel, Lead, and Zinc Mining",Mining (except Oil and Gas),,,,,NA,NA,,,,,,84265VAE5,US84265VAE56,9362199,bucket_51_max
"Verisk Analytics, Inc. 4.125%",20190331,Corporation,0.01,93.82,91.34,96.45,103.25,111.57,held_directly,219,87,53,"Verisk Analytics, Inc."," $400,000,000 "," $2,150,000,000 "," $537,500,000 ", $4 ," $140,766.48 ",0.04,2019-03-06,SEC Registered,Bond - Corporate Bond,Note,Senior,Technology,,,,,NA,4.125,5.25,6.21,2029-03-15,5.37," 150,034 ",BBB,5.3462,,,,DE,US,USD,DEV,"Data Processing, Hosting, and Related Services","Data Processing, Hosting, and Related Services",,,,,No,NA,,,,,,92345YAF3,US92345YAF34,228486088,bucket_51_max
Puget Energy Inc 2.379%,20211231,Corporation,0.08,85.26,83.31,87.53,91.62,98.56,held_directly,210,59,53,Puget Energy Inc," $499,390,000 "," $8,044,390,000 "," $402,219,500 ", $20 ," $746,024.49 ",0.18,2021-10-12,SEC Registered,Bond - Corporate Bond,Note,Senior Secured,Utilities,,,,,NA,2.379,4.95,5.46,2028-06-15,4.98," 874,956 ",BBB,5.5861,,,,MD,US,USD,DEV,Natural Gas Distribution,Utilities,,,,,No,NA,,,,,,745310AM4,US745310AM41,411962975,bucket_51_max
Raptor Acquisition Corp. 4.875%,20210630,Corporation,0.01,88.98,86.13,87.68,96.18,101.37,High Yield Bond Portfolio,124,16,53,Raptor Acquisition Corp.,,,,," $108,133.42 ",,2021-06-30,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,3.34,3.84,2026-11-01,3.38," 121,523 ",BB,8.33,,,,DE,US,USD,DEV,Other Spectator Sports,"Performing Arts, Spectator Sports, and Related Industries",,,,,NA,NA,,,,,,75383KAA2,US75383KAA25,387303440,bucket_51_max
IHO Verwaltungs GmbH 6%,20190630,Corporation,0.00,87.95,85.49,89.17,98.2,103.34,High Yield Bond Portfolio,161,12,53,IHO Verwaltungs GmbH,," $3,486,151,079 "," $581,025,180 ", $6 ," $34,202.35 ",,2019-06-06,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,,,2027-05-15,," 38,887 ",BB,,,,,,DE,USD,DEV,Office Administrative Services,Administrative and Support Services,,,,,NA,NA,,,,,,44963BAE8,US44963BAE83,242504646,bucket_51_max
AstraZeneca PLC 2.125%,20200930,Corporation,0.18,59.01,57.82,66.96,77.09,88.81,held_directly,233,81,54,AstraZeneca PLC," $500,000,000 "," $1,800,000,000 "," $900,000,000 ", $2 ," $1,696,576.61 ",0.57,2020-08-06,SEC Registered,Bond - Corporate Bond,Note,Senior,Healthcare,,,,,NA,2.125,18.05,27.60,2050-08-06,18.12," 2,874,965 ",A,4.8702,,,,,GB,USD,DEV,Pharmaceutical Preparation Manufacturing,Chemical Manufacturing,,,,,No,NA,,,,,,046353AX6,US046353AX64,326999574,bucket_51_max
"Discovery Communications, LLC 4.65%",20200630,Corporation,0.09,69.14,68.67,78.83,97.35,117.48,held_directly,320,106,54,"Discovery Communications, LLC",," $4,773,998,000 "," $681,999,714 ", $7 ," $808,934.23 ",,2020-05-18,SEC Registered,Bond - Corporate Bond,,,Communication Services,,,,,NA,,12.80,27.37,2050-05-15,12.86," 1,169,954 ",BBB,7.3021,,,,DE,US,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,NA,NA,,,,,,25470DBH1,US25470DBH17,312098132,bucket_51_max
Pepsico Inc 1.95%,20220630,Corporation,0.35,81.07,79.71,85.29,91.42,100.11,held_directly,227,107,54,Pepsico Inc,," $432,134,000 "," $72,022,333 ", $6 ," $3,303,660.55 ",,2021-10-21,SEC Registered,Bond - Corporate Bond,,,Consumer Defensive,,,,,NA,,7.78,8.81,2031-10-21,7.86," 4,074,980 ",A,4.6276,,,,NC,US,USD,DEV,Soft Drink Manufacturing,Beverage and Tobacco Product Manufacturing,,,,,NA,NA,,,,,,713448FE3,US713448FE31,411940127,bucket_51_max
"BP Capital Markets America, Inc. 1.749%",20200930,Corporation,0.14,79.95,77.87,81.94,88.57,96.31,held_directly,213,77,54,"BP Capital Markets America, Inc.",," $18,938,586,000 "," $1,114,034,471 ", $17 ," $1,355,161.14 ",,2020-08-10,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,6.83,7.61,2030-08-10,6.92," 1,695,011 ",A,4.9831,,,,DE,US,USD,DEV,Petroleum Refineries,Petroleum and Coal Products Manufacturing,,,,,NA,NA,,,,,,10373QBM1,US10373QBM15,327196211,bucket_51_max
Roper Technologies Inc 2%,20200630,Corporation,0.18,80.37,76.7,80.62,88.9,96.03,held_directly,243,72,54,Roper Technologies Inc,," $582,249,000 "," $582,249,000 ", $1 ," $1,731,862.83 ",,2020-06-22,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,6.72,7.50,2030-06-30,6.75," 2,154,984 ",BBB,5.236,,,,DE,US,USD,DEV,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial",Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,776743AJ5,US776743AJ55,317700012,bucket_51_max
Roper Technologies Inc 4.2%,20180930,Corporation,0.29,96.79,93.53,98.16,103.72,112.37,held_directly,191,90,54,Roper Technologies Inc,," $582,249,000 "," $582,249,000 ", $1 ," $2,748,730.34 ",,2018-08-28,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,4.87,5.71,2028-09-15,5.00," 2,840,008 ",BBB,4.8918,,,,DE,US,USD,DEV,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial",Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,776743AF3,US776743AF34,192523635,bucket_51_max
Helios Software Holdings Inc / Ion Corporate Solutions Finance SARL 4.625%,20210630,Corporation,0.02,76.39,75.1,79.49,92.19,98.43,High Yield Bond Portfolio,172,9,54,Helios Software Holdings Inc / Ion Corporate Solutions Finance SARL,,,,," $168,963.92 ",,2021-04-30,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,4.41,5.34,2028-05-01,4.46," 221,171 ",B,10.6312,,,,DE,US,USD,DEV,Offices of Other Holding Companies,Management of Companies and Enterprises,,,,,NA,NA,,,,,,42329HAA6,US42329HAA68,377470160,bucket_51_max
